rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,normalized_name
110,=11,Columbia University,89.4,110,89.4,10,87.7,21,97.1,57,44.8,569,79.9,219,United States,"21,781",4.5,38%,,Columbia University,"Politics & International Studies (incl Development Studies),Economics & Econometrics,Communication & Media Studies,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Mathematics & Statistics,Accounting & Finance,Agriculture & Forestry,Sport Science,Architecture,General Engineering,Chemical Engineering,Psychology,Law,Languages, Literature & Linguistics,Electrical & Electronic Engineering,History, Philosophy & Theology,Sociology,Computer Science,Chemistry,Archaeology,Other Health,Mechanical & Aerospace Engineering,Medicine & Dentistry,Biological Sciences,Physics & Astronomy,Business & Management",False,False,columbia university
120,=11,ETH Zurich,89.4,120,82.6,17,95.4,10,90.7,135,59.1,279,97.7,14,Switzerland,"21,665",14.8,41%,33 : 67,ETH Zurich,"Mathematics & Statistics,Mechanical & Aerospace Engineering,Accounting & Finance,Chemical Engineering,Economics & Econometrics,Politics & International Studies (incl Development Studies),General Engineering,Business & Management,Electrical & Electronic Engineering,Physics & Astronomy,Civil Engineering,Agriculture & Forestry,Medicine & Dentistry,Other Health,Sport Science,Geology, Environmental, Earth & Marine Sciences,Computer Science,Biological Sciences,Architecture,Education,Chemistry",False,False,eth zurich
130,13,The University of Chicago,88.9,130,86.5,13,88.8,19,97.7,49,56.2,303,74.2,283,United States,"15,366",6.0,36%,47 : 53,The University of Chicago,"Business & Management,Physics & Astronomy,Economics & Econometrics,Psychology,Accounting & Finance,Law,Politics & International Studies (incl Development Studies),Chemical Engineering,Sociology,Archaeology,Computer Science,Art, Performing Arts & Design,Geography,Biological Sciences,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Mathematics & Statistics,Medicine & Dentistry,Chemistry",False,False,the university of chicago
140,14,University of Pennsylvania,88.8,140,86.0,15,88.8,20,97.0,65,75.8,151,71.5,327,United States,"21,453",6.3,23%,53 : 47,University of Pennsylvania,"Economics & Econometrics,Archaeology,Medicine & Dentistry,Geography,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Law,Veterinary Science,Sociology,Biological Sciences,Psychology,Civil Engineering,Computer Science,Sport Science,Languages, Literature & Linguistics,Mathematics & Statistics,Communication & Media Studies,Agriculture & Forestry,Other Health,Business & Management,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Chemistry,Electrical & Electronic Engineering,Art, Performing Arts & Design,Chemical Engineering,Education,Architecture,Physics & Astronomy,General Engineering,History, Philosophy & Theology",False,False,university of pennsylvania
150,15,Johns Hopkins University,88.3,150,79.4,21,91.5,15,97.0,64,89.5,73,75.3,266,United States,"17,584",4.7,29%,53 : 47,Johns Hopkins University,"Sociology,General Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Accounting & Finance,Archaeology,Psychology,Biological Sciences,Art, Performing Arts & Design,Business & Management,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Economics & Econometrics,Chemical Engineering,Education,Languages, Literature & Linguistics,Chemistry,Other Health,Physics & Astronomy,Computer Science,Mathematics & Statistics,Mechanical & Aerospace Engineering,History, Philosophy & Theology",False,False,johns hopkins university
160,16,Tsinghua University,88.2,160,90.1,9,97.4,4,88.0,182,100.0,9,40.3,951,China,"38,324",11.6,10%,,Tsinghua University Qinghua University Tsing hua University Qing hua University,"Economics & Econometrics,Languages, Literature & Linguistics,Art, Performing Arts & Design,Geography,Education,Other Health,Communication & Media Studies,Sociology,Accounting & Finance,Architecture,Chemistry,Chemical Engineering,History, Philosophy & Theology,Physics & Astronomy,Mechanical & Aerospace Engineering,General Engineering,Business & Management,Medicine & Dentistry,Civil Engineering,Psychology,Electrical & Electronic Engineering,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Sport Science,Computer Science,Archaeology,Politics & International Studies (incl Development Studies),Law,Biological Sciences",False,False,tsinghua university
170,17,Peking University,88.1,170,92.5,4,96.7,6,80.4,308,91.8,60,65.0,409,China,"31,994",10.3,19%,,Peking University,"Other Health,Physics & Astronomy,Business & Management,Psychology,Education,Biological Sciences,Medicine & Dentistry,Communication & Media Studies,Art, Performing Arts & Design,General Engineering,Chemistry,Languages, Literature & Linguistics,Mathematics & Statistics,Computer Science,Sociology,Archaeology,Accounting & Finance,Law,Geography,Economics & Econometrics,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences",False,False,peking university
180,18,University of Toronto,87.4,180,77.3,25,93.3,12,92.8,113,65.5,225,89.7,115,Canada,"77,468",25.8,26%,56 : 44,University of Toronto,"Politics & International Studies (incl Development Studies),Law,Education,Biological Sciences,Electrical & Electronic Engineering,Business & Management,Languages, Literature & Linguistics,General Engineering,Mathematics & Statistics,Accounting & Finance,Civil Engineering,Psychology,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Geography,Economics & Econometrics,Chemistry,Communication & Media Studies,Archaeology,Medicine & Dentistry,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Computer Science,Chemical Engineering,Sport Science,Sociology,Art, Performing Arts & Design,Physics & Astronomy,Other Health,Architecture",False,False,university of toronto
190,19,National University of Singapore,87.1,190,76.4,26,93.0,13,90.2,148,87.0,86,94.0,63,Singapore,"32,337",19.8,25%,51 : 49,National University of Singapore nus,"Other Health,Sport Science,Accounting & Finance,Archaeology,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Physics & Astronomy,History, Philosophy & Theology,Psychology,Law,Agriculture & Forestry,General Engineering,Languages, Literature & Linguistics,Geography,Veterinary Science,Art, Performing Arts & Design,Business & Management,Politics & International Studies (incl Development Studies),Chemical Engineering,Computer Science,Electrical & Electronic Engineering,Economics & Econometrics,Chemistry,Mathematics & Statistics,Architecture,Sociology,Medicine & Dentistry,Biological Sciences,Civil Engineering,Mechanical & Aerospace Engineering",False,False,national university of singapore
200,20,Cornell University,85.9,200,80.2,20,86.1,22,97.3,56,40.4,905,76.9,252,United States,"24,027",10.3,26%,51 : 49,Cornell University,"Other Health,Biological Sciences,Psychology,Economics & Econometrics,Mathematics & Statistics,Languages, Literature & Linguistics,Electrical & Electronic Engineering,History, Philosophy & Theology,Sociology,Physics & Astronomy,Computer Science,Chemistry,Archaeology,Veterinary Science,Politics & International Studies (incl Development Studies),General Engineering,Chemical Engineering,Law,Architecture,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Agriculture & Forestry,Business & Management,Communication & Media Studies",False,False,cornell university
210,21,"University of California, Los Angeles",85.8,210,80.4,19,88.9,18,95.4,86,58.8,284,65.0,406,United States,"42,434",9.7,16%,56 : 44,"University of California, Los Angeles","Chemical Engineering,Psychology,Biological Sciences,Mechanical & Aerospace Engineering,Medicine & Dentistry,General Engineering,Communication & Media Studies,Agriculture & Forestry,Business & Management,Politics & International Studies (incl Development Studies),Accounting & Finance,Art, Performing Arts & Design,History, Philosophy & Theology,Computer Science,Chemistry,Sociology,Languages, Literature & Linguistics,Sport Science,Other Health,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Archaeology,Mathematics & Statistics,Education,Economics & Econometrics,Geography,Architecture,Physics & Astronomy,Electrical & Electronic Engineering,Law,Veterinary Science",False,False,university of california los angeles
220,22,UCL,85.7,220,74.5,29,85.4,23,97.9,46,44.5,587,96.7,23,United Kingdom,"36,790",10.3,60%,59 : 41,UCL ucl UCL,"Archaeology,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Civil Engineering,Physics & Astronomy,Education,Psychology,Computer Science,Mathematics & Statistics,Architecture,Chemistry,Medicine & Dentistry,General Engineering,Economics & Econometrics,Law,Geography,Business & Management,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Languages, Literature & Linguistics,Biological Sciences,Communication & Media Studies,Other Health,Electrical & Electronic Engineering,Sociology",False,False,ucl
230,23,University of Michigan-Ann Arbor,82.9,230,79.3,22,84.6,24,93.6,103,48.7,437,59.2,497,United States,"45,912",8.2,17%,50 : 50,University of Michigan-Ann Arbor,"Chemistry,Architecture,Agriculture & Forestry,Languages, Literature & Linguistics,Psychology,Sociology,Law,Computer Science,Chemical Engineering,Other Health,Archaeology,Mathematics & Statistics,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Civil Engineering,Electrical & Electronic Engineering,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Physics & Astronomy,Economics & Econometrics,General Engineering,Medicine & Dentistry,Education,Accounting & Finance,Biological Sciences,Sport Science,Business & Management,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences",False,False,university of michigan ann arbor
240,24,New York University,82.7,240,74.2,30,84.0,25,95.0,93,44.6,580,74.7,277,United States,"36,337",9.8,42%,57 : 43,New York University,"Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Physics & Astronomy,Medicine & Dentistry,Communication & Media Studies,Law,Art, Performing Arts & Design,Business & Management,Chemical Engineering,General Engineering,Computer Science,Accounting & Finance,Mathematics & Statistics,Sociology,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Archaeology,Economics & Econometrics,Biological Sciences,Education,Geology, Environmental, Earth & Marine Sciences,Other Health,Architecture,Psychology,Civil Engineering,Chemistry,History, Philosophy & Theology",False,False,new york university
250,25,Duke University,82.6,250,78.1,23,76.2,37,95.7,83,99.6,17,68.0,366,United States,"16,091",4.2,24%,52 : 48,Duke University,"Medicine & Dentistry,Psychology,Other Health,Biological Sciences,Computer Science,Agriculture & Forestry,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Languages, Literature & Linguistics,Communication & Media Studies,Accounting & Finance,General Engineering,Sociology,Business & Management,Civil Engineering,Chemistry,Mechanical & Aerospace Engineering,Physics & Astronomy,Art, Performing Arts & Design,Economics & Econometrics,Electrical & Electronic Engineering,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Law",False,False,duke university
260,=26,Northwestern University,82.1,260,71.7,32,80.7,30,97.5,52,85.0,94,67.0,382,United States,"19,175",13.2,20%,51 : 49,Northwestern University,"Computer Science,Geography,Physics & Astronomy,Languages, Literature & Linguistics,Business & Management,Biological Sciences,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),Accounting & Finance,Mathematics & Statistics,Civil Engineering,Sociology,Education,General Engineering,History, Philosophy & Theology,Architecture,Economics & Econometrics,Mechanical & Aerospace Engineering,Communication & Media Studies,Medicine & Dentistry,Law,Psychology,Art, Performing Arts & Design,Electrical & Electronic Engineering,Chemistry,Other Health",False,False,northwestern university
270,=26,University of Washington,82.1,270,71.6,33,82.8,27,98.9,29,53.9,340,63.0,438,United States,"47,727",10.8,18%,55 : 45,University of Washington,"Psychology,History, Philosophy & Theology,Other Health,Chemistry,Languages, Literature & Linguistics,General Engineering,Chemical Engineering,Physics & Astronomy,Agriculture & Forestry,Computer Science,Biological Sciences,Archaeology,Education,Veterinary Science,Politics & International Studies (incl Development Studies),Accounting & Finance,Mechanical & Aerospace Engineering,Communication & Media Studies,Economics & Econometrics,Mathematics & Statistics,Architecture,Medicine & Dentistry,Electrical & Electronic Engineering,Sociology,Art, Performing Arts & Design,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,Law,Geography",False,False,university of washington
280,28,Carnegie Mellon University,81.1,280,65.4,46,81.8,29,98.7,31,55.2,318,80.1,216,United States,"14,305",12.9,47%,44 : 56,Carnegie Mellon University,"Accounting & Finance,Communication & Media Studies,Languages, Literature & Linguistics,Computer Science,Politics & International Studies (incl Development Studies),Civil Engineering,Business & Management,Economics & Econometrics,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Biological Sciences,Art, Performing Arts & Design,Electrical & Electronic Engineering,Mathematics & Statistics,Chemical Engineering,Chemistry,Physics & Astronomy,Psychology,Architecture",False,False,carnegie mellon university
290,29,University of Edinburgh,79.8,290,66.9,42,74.5,44,97.1,58,40.9,852,95.6,37,United Kingdom,"32,845",11.8,47%,62 : 38,University of Edinburgh,"Computer Science,Business & Management,Politics & International Studies (incl Development Studies),Accounting & Finance,Electrical & Electronic Engineering,Mathematics & Statistics,Veterinary Science,Archaeology,Physics & Astronomy,General Engineering,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Architecture,Chemistry,Sport Science,Other Health,Sociology,Geography,Languages, Literature & Linguistics,Art, Performing Arts & Design,Civil Engineering,Education,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Law,Chemical Engineering,Economics & Econometrics,Psychology,Biological Sciences",False,False,university of edinburgh
300,30,Technical University of Munich,79.3,300,69.8,34,82.2,28,84.5,241,100.0,8,77.7,241,Germany,"33,960",40.6,36%,37 : 63,Technical University of Munich,"Chemical Engineering,Chemistry,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Other Health,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Biological Sciences,Electrical & Electronic Engineering,Accounting & Finance,Business & Management,Civil Engineering,Physics & Astronomy,Computer Science,Mathematics & Statistics,Education,Sport Science,Architecture,General Engineering,Agriculture & Forestry,Sociology",False,False,technical university of munich
310,31,University of Hong Kong,78.5,310,65.6,45,74.1,46,92.4,115,60.6,268,98.7,8,Hong Kong,"18,087",18.2,43%,54 : 46,University of Hong Kong,"Agriculture & Forestry,Art, Performing Arts & Design,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Physics & Astronomy,Business & Management,Geography,Medicine & Dentistry,Biological Sciences,Other Health,Communication & Media Studies,Mathematics & Statistics,Accounting & Finance,Education,Law,Mechanical & Aerospace Engineering,Architecture,Psychology,Economics & Econometrics,Chemistry,General Engineering,History, Philosophy & Theology,Civil Engineering,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Computer Science,Sociology",False,False,university of hong kong
320,32,"University of California, San Diego",78.1,320,60.2,55,77.2,35,98.2,42,93.0,54,67.8,372,United States,"37,030",11.3,28%,48 : 52,"University of California, San Diego","Other Health,Computer Science,Chemical Engineering,Physics & Astronomy,Economics & Econometrics,General Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Biological Sciences,Sociology,History, Philosophy & Theology,Education,Mathematics & Statistics,Business & Management,Electrical & Electronic Engineering,Communication & Media Studies,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Chemistry,Accounting & Finance,Civil Engineering,Psychology,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences",False,False,university of california san diego
330,33,LMU Munich,77.7,330,67.3,36,78.3,33,87.4,199,100.0,4,70.5,339,Germany,"35,003",34.2,19%,61 : 39,LMU Munich Ludwig-Maximilians-Universität München,"Psychology,Education,Computer Science,Business & Management,Law,Sociology,Medicine & Dentistry,Mathematics & Statistics,History, Philosophy & Theology,Biological Sciences,Geography,Other Health,Archaeology,Physics & Astronomy,Art, Performing Arts & Design,Chemistry,Communication & Media Studies,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Veterinary Science,Politics & International Studies (incl Development Studies)",False,False,lmu munich
340,34,University of Melbourne,77.6,340,67.1,40,75.9,40,85.8,225,78.1,130,93.6,72,Australia,"49,588",23.8,47%,58 : 42,University of Melbourne UniMelb Australia,"Art, Performing Arts & Design,Sociology,Medicine & Dentistry,Agriculture & Forestry,Sport Science,Law,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Languages, Literature & Linguistics,Computer Science,Physics & Astronomy,Electrical & Electronic Engineering,History, Philosophy & Theology,Geography,Chemical Engineering,Politics & International Studies (incl Development Studies),Education,Business & Management,Psychology,Biological Sciences,Archaeology,Mechanical & Aerospace Engineering,Veterinary Science,Communication & Media Studies,Other Health,Mathematics & Statistics,General Engineering,Accounting & Finance,Architecture,Chemistry,Civil Engineering",False,False,university of melbourne
350,35,King’s College London,77.1,350,58.0,70,72.9,50,98.2,43,45.6,537,96.1,29,United Kingdom,"28,965",11.8,52%,63 : 37,King’s College London,"Accounting & Finance,Geography,Economics & Econometrics,Computer Science,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Languages, Literature & Linguistics,Chemistry,Other Health,Law,Archaeology,Psychology,Electrical & Electronic Engineering,Medicine & Dentistry,Mechanical & Aerospace Engineering,Communication & Media Studies,Education,Mathematics & Statistics,General Engineering,Biological Sciences,Sport Science,Sociology,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Physics & Astronomy,Business & Management",False,False,kings college london
360,36,"Nanyang Technological University, Singapore",77.0,360,60.9,52,77.9,34,87.2,201,84.5,96,94.5,53,Singapore,"24,651",15.1,25%,48 : 52,"Nanyang Technological University, Singapore NTU Nan yang","Civil Engineering,Economics & Econometrics,Psychology,Education,Sport Science,Sociology,Politics & International Studies (incl Development Studies),Accounting & Finance,Electrical & Electronic Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Languages, Literature & Linguistics,Business & Management,Mechanical & Aerospace Engineering,Chemistry,Communication & Media Studies,Other Health,Computer Science,General Engineering,Physics & Astronomy,Chemical Engineering,Mathematics & Statistics,Art, Performing Arts & Design,History, Philosophy & Theology",False,False,nanyang technological university singapore
370,37,London School of Economics and Political Science,76.5,370,59.2,61,74.3,45,95.1,90,37.8,1349,92.8,84,United Kingdom,"11,120",11.9,73%,55 : 45,London School of Economics and Political Science,"History, Philosophy & Theology,Mathematics & Statistics,Geography,Psychology,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Economics & Econometrics,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Business & Management,Sociology,Law",False,False,london school of economics and political science
380,38,Georgia Institute of Technology,76.0,380,60.2,56,75.9,39,91.4,127,64.9,234,81.2,205,United States,"28,826",24.7,40%,33 : 67,Georgia Institute of Technology,"Architecture,Computer Science,Business & Management,Chemistry,Economics & Econometrics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Chemical Engineering,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Physics & Astronomy,History, Philosophy & Theology,Civil Engineering,Languages, Literature & Linguistics,Sociology,Accounting & Finance,Geography,Psychology,Art, Performing Arts & Design,Mathematics & Statistics",False,False,georgia institute of technology
390,39,The University of Tokyo,75.9,390,88.1,11,91.4,16,55.5,754,86.7,87,43.3,860,Japan,"26,112",10.5,15%,,The University of Tokyo,"Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Chemical Engineering,Computer Science,Communication & Media Studies,Archaeology,General Engineering,Geography,Business & Management,Civil Engineering,Sport Science,Mechanical & Aerospace Engineering,Other Health,Physics & Astronomy,Biological Sciences,Law,Mathematics & Statistics,Languages, Literature & Linguistics,Veterinary Science,Electrical & Electronic Engineering,Medicine & Dentistry,History, Philosophy & Theology,Education,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Agriculture & Forestry,Sociology,Architecture,Chemistry,Psychology",False,False,the university of tokyo
400,40,University of British Columbia,75.7,400,62.9,50,73.1,48,88.8,169,47.9,459,94.8,47,Canada,"56,452",18.9,34%,55 : 45,University of British Columbia,"Psychology,Geography,Biological Sciences,General Engineering,Communication & Media Studies,Chemical Engineering,Mathematics & Statistics,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Chemistry,Education,Civil Engineering,Other Health,Medicine & Dentistry,Accounting & Finance,Archaeology,Law,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Agriculture & Forestry,Economics & Econometrics,Politics & International Studies (incl Development Studies),Architecture,Art, Performing Arts & Design,Computer Science,Sport Science,Sociology,Mechanical & Aerospace Engineering,Business & Management,History, Philosophy & Theology",False,False,university of british columbia
410,41,École Polytechnique Fédérale de Lausanne,75.4,410,65.6,44,70.7,53,84.5,239,71.7,182,98.0,12,Switzerland,"11,641",12.3,62%,30 : 70,École Polytechnique Fédérale de Lausanne,"Architecture,General Engineering,Chemistry,Computer Science,Electrical & Electronic Engineering,Biological Sciences,Chemical Engineering,Civil Engineering,Mathematics & Statistics,Physics & Astronomy,Economics & Econometrics,Mechanical & Aerospace Engineering",False,False,ecole polytechnique federale de lausanne
420,42,KU Leuven,74.6,420,59.7,59,74.9,42,86.7,207,99.2,21,76.8,253,Belgium,"47,663",36.5,18%,51 : 49,KU Leuven,"Electrical & Electronic Engineering,Chemistry,Accounting & Finance,Sport Science,Politics & International Studies (incl Development Studies),Chemical Engineering,Business & Management,Education,General Engineering,Psychology,Economics & Econometrics,Computer Science,Mechanical & Aerospace Engineering,Geography,Art, Performing Arts & Design,Physics & Astronomy,History, Philosophy & Theology,Other Health,Civil Engineering,Biological Sciences,Communication & Media Studies,Archaeology,Mathematics & Statistics,Languages, Literature & Linguistics,Sociology,Agriculture & Forestry,Architecture,Geology, Environmental, Earth & Marine Sciences,Law,Medicine & Dentistry",False,False,ku leuven
430,43,Universität Heidelberg,74.1,430,67.2,38,61.5,75,96.0,78,55.7,308,71.2,331,Germany,"19,347",13.5,21%,55 : 45,Universität Heidelberg,"History, Philosophy & Theology,Sport Science,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Law,Education,Mathematics & Statistics,Geography,Politics & International Studies (incl Development Studies),Computer Science,Economics & Econometrics,Other Health,Psychology,Chemistry,Sociology,Archaeology,Art, Performing Arts & Design,Biological Sciences,Languages, Literature & Linguistics,Medicine & Dentistry",False,False,universitat heidelberg
440,44,Monash University,73.6,440,56.9,72,68.7,57,90.4,140,78.4,128,91.0,103,Australia,"58,725",42.5,41%,57 : 43,Monash University,"Economics & Econometrics,Sport Science,Art, Performing Arts & Design,Geography,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Civil Engineering,Physics & Astronomy,Education,Communication & Media Studies,Architecture,Medicine & Dentistry,Law,Politics & International Studies (incl Development Studies),Other Health,Biological Sciences,Sociology,Accounting & Finance,Mathematics & Statistics,Electrical & Electronic Engineering,Business & Management,Chemical Engineering,Psychology,Archaeology,Computer Science,Chemistry,Languages, Literature & Linguistics,General Engineering,Geology, Environmental, Earth & Marine Sciences",False,False,monash university
450,45,Chinese University of Hong Kong,73.2,450,59.1,62,61.1,77,95.7,82,60.9,264,92.5,88,Hong Kong,"18,468",19.0,21%,,Chinese University of Hong Kong CUHK,"General Engineering,Education,Languages, Literature & Linguistics,Sport Science,Physics & Astronomy,Geography,Accounting & Finance,Other Health,Medicine & Dentistry,Economics & Econometrics,Psychology,Sociology,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Electrical & Electronic Engineering,Chemistry,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Mathematics & Statistics,Architecture,Business & Management,Art, Performing Arts & Design,Law,Computer Science,Biological Sciences",False,False,chinese university of hong kong
460,46,McGill University,73.0,460,62.0,51,72.4,52,82.5,274,43.5,644,91.0,101,Canada,"32,309",12.5,30%,60 : 40,McGill University,"Accounting & Finance,Education,Biological Sciences,Art, Performing Arts & Design,Archaeology,Law,Politics & International Studies (incl Development Studies),Other Health,Computer Science,Mathematics & Statistics,Architecture,Languages, Literature & Linguistics,Civil Engineering,Psychology,Business & Management,Chemistry,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Medicine & Dentistry,Sport Science,Sociology,History, Philosophy & Theology,Chemical Engineering,Agriculture & Forestry,Geography,General Engineering,Physics & Astronomy,Electrical & Electronic Engineering,Communication & Media Studies",False,False,mcgill university
470,47,Paris Sciences et Lettres – PSL Research University Paris,72.9,470,68.2,35,73.5,47,75.5,400,78.8,125,76.3,262,France,"16,218",15.0,22%,51 : 49,Paris Sciences et Lettres – PSL Research University Paris,"History, Philosophy & Theology,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Archaeology,Chemistry,Accounting & Finance,Mechanical & Aerospace Engineering,Other Health,Politics & International Studies (incl Development Studies),Chemical Engineering,General Engineering,Communication & Media Studies,Languages, Literature & Linguistics,Law,Civil Engineering,Economics & Econometrics,Sociology,Electrical & Electronic Engineering,Mathematics & Statistics,Business & Management,Geography,Physics & Astronomy,Biological Sciences,Computer Science",False,False,paris sciences et lettres psl research university paris
480,48,University of Illinois at Urbana-Champaign,72.7,480,67.1,39,78.9,32,78.1,359,50.1,407,56.2,550,United States,"48,674",17.4,22%,48 : 52,University of Illinois at Urbana-Champaign,"Art, Performing Arts & Design,Computer Science,Archaeology,General Engineering,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Law,Architecture,Mechanical & Aerospace Engineering,Mathematics & Statistics,Chemical Engineering,Business & Management,Geography,History, Philosophy & Theology,Other Health,Sport Science,Psychology,Medicine & Dentistry,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Chemistry,Electrical & Electronic Engineering,Sociology,Languages, Literature & Linguistics,Education,Accounting & Finance,Civil Engineering,Veterinary Science,Biological Sciences,Physics & Astronomy",False,False,university of illinois at urbana champaign
490,49,Karolinska Institute,72.4,490,51.1,103,68.8,56,94.0,98,66.4,218,87.3,148,Sweden,"8,021",9.9,27%,70 : 30,Karolinska Institute,"Education,Psychology,Chemical Engineering,Other Health,Mathematics & Statistics,Medicine & Dentistry,Sociology,Languages, Literature & Linguistics,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Business & Management",False,False,karolinska institute
500,50,University of Texas at Austin,72.3,500,66.2,43,73.1,49,87.5,195,51.3,383,40.1,957,United States,"49,171",17.4,10%,53 : 47,University of Texas at Austin,"Architecture,Business & Management,Law,Communication & Media Studies,Biological Sciences,Economics & Econometrics,Psychology,Education,Sport Science,History, Philosophy & Theology,Computer Science,Physics & Astronomy,Archaeology,Medicine & Dentistry,Electrical & Electronic Engineering,Sociology,General Engineering,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Chemical Engineering,Mathematics & Statistics,Accounting & Finance,Mechanical & Aerospace Engineering,Geography,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Chemistry",False,False,university of texas at austin
510,51,Fudan University,72.0,510,71.8,31,75.8,41,74.5,423,77.3,143,45.2,795,China,"36,318",11.9,9%,52 : 48,Fudan University,"Mechanical & Aerospace Engineering,Chemical Engineering,Mathematics & Statistics,Psychology,Physics & Astronomy,Other Health,Geology, Environmental, Earth & Marine Sciences,Business & Management,Communication & Media Studies,Languages, Literature & Linguistics,Geography,Law,Medicine & Dentistry,Chemistry,Economics & Econometrics,General Engineering,Politics & International Studies (incl Development Studies),Archaeology,Electrical & Electronic Engineering,Biological Sciences,History, Philosophy & Theology,Education,Art, Performing Arts & Design,Computer Science,Sociology,Accounting & Finance,Agriculture & Forestry",False,False,fudan university
