university_id,university_name,country,matched_name,score,institution_id,works_count,cited_by_count,h_index,i10_index,2yr_mean_citedness
U000005,Abbes Laghrour University of Khenchala,Algeria,Abbès Laghrour University of Khenchela,92.10526315789474,https://openalex.org/I4210130929,2086,21791,52,639,2.73953488372093
U000021,Ada Kent University,Northern Cyprus,Başkent University,91.89189189189189,https://openalex.org/I188740104,19793,600686,172,15797,1.327269800386349
U000022,"Adam Mickiewicz University, Poznań",Poland,Adam Mickiewicz University in Poznań,95.52238805970148,https://openalex.org/I59411706,67222,1418552,277,32953,1.9444914060298677
U000023,"Adamawa State University, Mubi",Nigeria,Adamawa State University,90.56603773584906,https://openalex.org/I106980716,1831,8891,35,211,0.3931707317073171
U000033,AGH University of Science and Technology,Poland,University of Science and Technology,94.73684210526316,https://openalex.org/I118692353,17778,190496,154,3866,1.6567728442728442
U000043,Aix-Marseille University,France,Aix-Marseille Université,97.87234042553192,https://openalex.org/I21491767,144787,11148521,783,155330,2.207926984937452
U000049,AKFA University,Uzbekistan,AKAD University,93.33333333333333,https://openalex.org/I4210124604,131,740,14,24,0.40625
U000061,Al-Ayen University,Iraq,Al-Ameen University,91.89189189189189,https://openalex.org/I4405264270,0,0,0,0,0.0
U000072,Al Imam Mohammad Ibn Saud Islamic University,Saudi Arabia,Imam Mohammad ibn Saud Islamic University,96.47058823529412,https://openalex.org/I240666556,19750,315687,143,7895,3.885023028688752
U000073,Al-Janad University for Science and Technology,Yemen,Al-Ryada University for Science and Technology,93.47826086956522,https://openalex.org/I4391768229,42,325,9,7,6.314285714285714
U000075,Al-Kitab University,Iraq,Akita University,91.42857142857143,https://openalex.org/I203765153,21975,1026233,265,22513,1.6454513399153738
U000081,Al-Nahrain University,Iraq,Nahrain University,92.3076923076923,https://openalex.org/I56409017,10650,114315,103,2856,2.796581485869013
U000125,"Amity University, Chhattisgarh",India,Amity University Chhatisgarh,98.24561403508771,https://openalex.org/I4405266109,0,0,0,0,0.0
U000133,Anáhuac University,Mexico,Nanhua University,91.42857142857143,https://openalex.org/I4210112569,1726,34781,81,596,2.10850439882698
U000146,Anna University,India,Hannam University,93.75,https://openalex.org/I112728665,5891,195613,150,3649,1.2065553494124923
U000148,Antonio Nariño University,Colombia,Universidad Antonio Nariño,90.19607843137256,https://openalex.org/I4210101155,4683,323978,228,4153,2.2406876790830945
U000173,Ashur University,Iraq,Asbury University,90.9090909090909,https://openalex.org/I236658880,523,4414,32,106,0.4859813084112149
U000175,Asia Pacific University of Technology and Innovation (APU),Malaysia,Asia Pacific University of Technology & Innovation,92.3076923076923,https://openalex.org/I181397559,3685,40632,75,924,1.2476859240344718
U000180,Ataturk University,Turkey,Atatürk University,94.44444444444444,https://openalex.org/I64134780,40382,1396262,271,30108,2.5813405186931626
U000185,Atyrau University,Kazakhstan,Atria University,90.9090909090909,https://openalex.org/I4405253771,0,0,0,0,0.0
U000190,Augustine University,Nigeria,Augustana University,90.0,https://openalex.org/I149700789,1510,193925,268,3240,2.0088235294117647
U000197,Autonomous University of Chiapas,Mexico,Autonomous University of Chihuahua,90.9090909090909,https://openalex.org/I142652706,7630,143850,117,3480,1.3598700243704305
U000199,Autonomous University of San Luis Potosi,Mexico,Autonomous University of San Luis Potosí,98.73417721518987,https://openalex.org/I196664497,18269,672806,241,13691,1.8396100427350428
U000205,B. S. Abdur Rahman Crescent Institute of Science and Technology,India,B.S. Abdur Rahman Crescent Institute of Science & Technology,96.61016949152543,https://openalex.org/I94948490,5387,117011,115,2673,2.622909435153045
U000207,Babes-Bolyai University,Romania,Babeș-Bolyai University,97.77777777777777,https://openalex.org/I3125347698,34731,850663,253,18440,2.4418804890649217
U000211,Badji Mokhtar University – Annaba,Algeria,Badji Mokhtar-Annaba University,100.0,https://openalex.org/I108754898,13978,262392,143,6476,1.7175870858113849
U000219,"Balochistan University of Engineering and Technology, Khuzdar",Pakistan,Balochistan University of Engineering and Technology,92.85714285714286,https://openalex.org/I4210156098,558,6434,33,178,2.1255411255411256
U000221,"Bamidele Olumilua University of Education, Science and Technology, Ikere-Ikiti",Nigeria,"Bamidele Olumilua University of Education, Science and Technology",91.42857142857143,https://openalex.org/I4405256297,0,0,0,0,0.0
U000232,Barawa International University,Somalia,Arab International University,93.33333333333333,https://openalex.org/I2801484940,2707,6430,38,174,0.2651139742319128
U000241,Bayero University,Nigeria,Baker University,90.9090909090909,https://openalex.org/I82462995,488,9317,47,150,1.8928571428571428
U000260,Belgorod State National Research University,Russian Federation,Belgorod National Research University,92.5,https://openalex.org/I120938084,9419,171088,146,3348,1.3438485804416405
U000267,Bernardo O’Higgins University,Chile,Universidad Bernardo O'Higgins,91.52542372881356,https://openalex.org/I4210086410,5328,102245,113,2252,2.0470193115029387
U000277,Bilecik Şeyh Edebali University,Turkey,Bilecik Şeyh Edebali Üniversitesi,91.80327868852459,https://openalex.org/I169255954,7055,70856,87,1716,1.814384508990318
U000303,Bozok University,Turkey,BOKU University,90.32258064516128,https://openalex.org/I92869138,29110,2218715,409,35666,3.744510978043912
U000312,Brunel University London,United Kingdom,Brunel University of London,94.11764705882352,https://openalex.org/I59433898,52928,3263503,508,48017,3.732330696340085
U000335,Canadian University Dubai,United Arab Emirates,Canadian University of Dubai,94.33962264150944,https://openalex.org/I186129607,1830,29683,71,593,3.062444246208742
U000336,Cankaya University,Turkey,Çankaya University,97.14285714285714,https://openalex.org/I106245021,8302,172011,150,3356,1.5871382636655949
U000348,Catania University,Italy,University of Catania,92.3076923076923,https://openalex.org/I39063666,76614,4813848,451,94044,3.670370592828398
U000357,CBS International Business School,Germany,International Business School,93.5483870967742,https://openalex.org/I4210096710,124,1154,12,13,0.5277777777777778
U000358,Ceará State University,Brazil,Caraga State University,90.9090909090909,https://openalex.org/I210563421,1996,10664,37,230,0.4669051878354204
U000371,Centro Universitário Cesuca,Brazil,Centro Universitário Cesumar,94.54545454545455,https://openalex.org/I3018588415,5775,32362,63,735,0.4329924650161464
U000375,CES University,Colombia,CECOS University,93.33333333333333,https://openalex.org/I4210112203,1519,31382,77,695,3.91480996068152
U000407,"China University of Geosciences, Wuhan",China,China University of Geosciences,91.17647058823529,https://openalex.org/I3124059619,67289,3878467,383,77352,5.148838425338014
U000416,Chittagong University of Engineering and Technology,Bangladesh,Chittagong University of Engineering & Technology,95.91836734693877,https://openalex.org/I102782458,6350,137839,130,2927,2.577348522370811
U000422,Christian-Albrechts-University zu Kiel,Germany,Christian-Albrechts-Universität zu Kiel,96.1038961038961,https://openalex.org/I32021983,96884,7030588,686,94905,2.469430624654505
U000436,"City University of Science and Information Technology, Peshawar",Pakistan,City University of Science and Information Technology,92.17391304347827,https://openalex.org/I3132053282,1546,43363,93,902,2.712998712998713
U000437,Civil Aviation Academy,Kazakhstan,Academy of Civil Aviation,93.61702127659575,https://openalex.org/I4210158296,417,1251,14,32,0.7528604118993135
U000440,Claude Bernard University Lyon 1,France,Université Claude Bernard Lyon 1,98.41269841269842,https://openalex.org/I100532134,209116,17690216,984,260583,3.20496058450298
U000445,Colegio de México,Mexico,El Colegio de México,91.89189189189189,https://openalex.org/I150673438,12176,50611,81,1113,0.6432306798373039
U000453,Comenius University in Bratislava,Slovakia,Comenius University Bratislava,95.23809523809523,https://openalex.org/I74788687,45672,2690551,405,46805,2.772228637413395
U000474,CY Cergy Paris University,France,CY Cergy Paris Université,97.95918367346938,https://openalex.org/I4210142324,20860,487808,229,8999,1.7567567567567568
U000478,Czech University of Life Sciences in Prague,Czech Republic,Czech University of Life Sciences Prague,96.3855421686747,https://openalex.org/I205984670,23935,843723,237,18834,3.071518390443257
U000481,D. Serikbayev East Kazakhstan Technical University,Kazakhstan,D. Serikbayev East Kazakhstan State Technical University,94.23076923076923,https://openalex.org/I4210117727,1712,15913,39,445,1.5856189770200149
U000513,Diego Portales University,Chile,Universidad Diego Portales,90.19607843137256,https://openalex.org/I911713783,11496,237385,170,4515,3.1293808411214954
U000514,Dijlah University,Iraq,Dilla University,90.9090909090909,https://openalex.org/I4210136909,4444,72587,88,1944,2.425618434429007
U000522,Donetsk National University of Economics and Trade named after Mykhailo Tuhan-Baranovsky (DonNUET),Ukraine,Donetsk National University of Economics and Trade named after Mykhailo Tugan-Baranovsky,94.56521739130434,https://openalex.org/I4210137366,903,4299,31,64,0.2918149466192171
U000541,Duzce University,Turkey,Duke University,90.32258064516128,https://openalex.org/I170897317,268715,29710350,1407,305229,3.4871443226607632
U000544,EAN University,Colombia,Esan University,96.55172413793103,https://openalex.org/I1291453478,1648,10711,45,251,2.017361111111111
U000552,EBS Business School,Germany,ESE Business School,94.73684210526316,https://openalex.org/I4405261252,0,0,0,0,0.0
U000554,École de Psychologues Praticiens,France,École de Psychologues Praticien,98.36065573770492,https://openalex.org/I4387156194,239,1574,19,33,0.4848484848484848
U000562,"École Nationale Supérieure Agronomique, Algiers",Algeria,École Nationale Supérieure Agronomique,90.2439024390244,https://openalex.org/I4210150961,2593,48956,90,1129,1.1117092866756393
U000563,École Nationale Supérieure de Biotechnologie Taoufik Khaznadar (ENSB),Algeria,Ecole Nationale Supérieure de Biotechnologie Taoufik Khaznadar,90.625,https://openalex.org/I4405255789,0,0,0,0,0.0
U000565,École Nationale Supérieure des Sciences de la Mer et de l’Aménagement du Littoral (ENSSMAL),Algeria,Ecole Nationale Supérieure des Sciences de la Mer et de l'Aménagement du Littoral,92.3076923076923,https://openalex.org/I4210143099,533,9067,40,223,1.2044444444444444
U000571,École Normale Supérieure de Laghouat,Algeria,Ecole Normale Supérieure of Laghouat,90.14084507042254,https://openalex.org/I4405252934,0,0,0,0,0.0
U000573,École Normale Supérieure d’Oran,Algeria,Ecole Normale Supérieure d'Oran,91.80327868852459,https://openalex.org/I4405265479,0,0,0,0,0.0
U000577,Ecole Polytechnique,France,École Polytechnique,97.2972972972973,https://openalex.org/I142476485,64763,6531523,722,86289,3.1934438489343138
U000584,École Supérieure en Sciences et Technologies de l’Informatique et du Numérique (ESTIN),Algeria,Ecole supérieure en science et technologies de l'informatique et du numérique,91.25,https://openalex.org/I4391012564,22,355,10,13,10.75
U000611,ESCP Business School - Paris,France,EDC Paris Business School,94.11764705882352,https://openalex.org/I4405260284,0,0,0,0,0.0
U000613,Escuela Superior Politécnica de Chimborazo,Ecuador,Escuela Superior Politécnica del Chimborazo,98.82352941176471,https://openalex.org/I4210137344,9005,41231,72,856,1.2702402957486136
U000619,ESSEC Business School,France,ESE Business School,95.0,https://openalex.org/I4405261252,0,0,0,0,0.0
U000620,"Essex, University of",United Kingdom,University of Essex,100.0,https://openalex.org/I110002522,49616,2082536,457,28157,5.594591671173608
U000644,Federal University of Kashere,Nigeria,Federal University Kashere,94.54545454545455,https://openalex.org/I4210148832,1889,12297,49,239,0.7123287671232876
U000645,Federal University of Lafia,Nigeria,Federal University Lafia,94.11764705882352,https://openalex.org/I2800437794,3768,30618,68,651,1.4740582800284292
U000654,"Federal University of Petroleum Resources, Effurun",Nigeria,Federal University of Petroleum Resource Effurun,98.96907216494846,https://openalex.org/I891860020,2985,33111,66,825,2.3339494762784967
U000660,Federal University of Technology Akure,Nigeria,"Federal University of Technology, Babura",93.5064935064935,https://openalex.org/I4405253586,0,0,0,0,0.0
U000674,Fergana Polytechnic Institute,Uzbekistan,Ferghana Polytechnical Institute,95.08196721311475,https://openalex.org/I4210091792,4119,14700,35,454,1.673185105813019
U000675,Fergana State University,Uzbekistan,Ferghana State University,97.95918367346938,https://openalex.org/I4210104713,2153,5771,30,146,0.8182669789227166
U000679,Firat University,Turkey,Fırat University,93.75,https://openalex.org/I143396566,26633,951246,259,19418,2.5621219633118493
U000688,Fluminense Federal University,Brazil,Universidade Federal Fluminense,90.0,https://openalex.org/I161127581,79561,1650155,275,38925,1.15829889695116
U000714,Gadjah Mada University,Indonesia,Universitas Gadjah Mada,93.33333333333333,https://openalex.org/I165230279,76774,976594,199,24685,1.1097543915745718
U000753,"Government College Women University, Sialkot",Pakistan,Government Sadiq College Women University,90.47619047619048,https://openalex.org/I2800060998,1832,24462,68,616,4.841113841113841
U000759,Grenoble Alpes University,France,Université Grenoble Alpes,97.95918367346938,https://openalex.org/I899635006,160509,10855488,799,160979,1.925453573044802
U000772,Gulf University for Science and Technology,Kuwait,Gulf University for Science & Technology,95.0,https://openalex.org/I179311214,4424,70553,100,1743,7.76657723265619
U000814,"Higher National School of Renewable Energies, Environment and Sustainable Development",Algeria,"Higher National School of Renewable Energies, Environment & Sustainable Development",97.5609756097561,https://openalex.org/I4405256489,0,0,0,0,0.0
U000816,Higher School of Management and Digital Economy (HSMDE),Algeria,The Higher School of Management and Digital Economy,90.38461538461539,https://openalex.org/I4405259000,0,0,0,0,0.0
U000817,Higher School of Management – Tlemcen,Algeria,Higher School of Management of Tlemcen,95.89041095890411,https://openalex.org/I4405254071,0,0,0,0,0.0
U000818,Hilla University College,Iraq,Hólar University College,91.66666666666666,https://openalex.org/I204557473,614,14584,51,363,1.203187250996016
U000824,Hitit University,Turkey,IIMT University,90.32258064516128,https://openalex.org/I4405262983,0,0,0,0,0.0
U000828,Hodeida University,Yemen,Hodeidah University,97.2972972972973,https://openalex.org/I31605765,1991,21636,63,534,4.04985754985755
U000840,HSE University,Russia,He University,96.2962962962963,https://openalex.org/I4210097747,350,6357,37,191,1.7537313432835822
U000858,Ibn Khaldoun University,Algeria,Université Ibn Khaldoun,97.77777777777777,https://openalex.org/I4210110732,1024,6358,36,155,0.5964523281596452
U000866,Ilam University of Medical Sciences,Iran,Bam University of Medical Sciences,95.65217391304348,https://openalex.org/I4210121477,1880,65292,110,1003,4.498251748251748
U000871,Ilmenau University of Technology,Germany,China University of Technology,90.32258064516128,https://openalex.org/I35357665,990,19109,64,410,1.1238938053097345
U000877,Imam Mohammad Ibn Saud Islamic University – IMSIU,Saudi Arabia,Imam Mohammad ibn Saud Islamic University,93.18181818181819,https://openalex.org/I240666556,19750,315687,143,7895,3.885023028688752
U000917,Inönü University,Turkey,Inonu University,90.32258064516128,https://openalex.org/I20126385,22344,625814,192,16035,1.7640715980159587
U000919,Institut Agro,France,L'Institut Agro,92.85714285714286,https://openalex.org/I4399657933,4352,112135,99,2987,3.0530159588855827
U000943,International Engineering and Technology University (METU),Kazakhstan,International Engineering and Technological University,90.9090909090909,https://openalex.org/I4405262318,0,0,0,0,0.0
U000948,International IT University,Kazakhstan,INTI International University,96.42857142857143,https://openalex.org/I12649496,8797,81122,96,1914,3.4440104166666665
U000972,Israel Technological University,Ecuador,Rizal Technological University,91.80327868852459,https://openalex.org/I3130505705,491,2080,17,31,0.4
U000974,Istanbul Aydin University  ,Turkey,Istanbul Aydın University,92.0,https://openalex.org/I179948855,9871,161744,165,2852,1.6745625841184388
U000976,Istanbul Bilgi Üniversitesi,Turkey,Istanbul Bilgi University,90.19607843137256,https://openalex.org/I118036225,5616,134924,136,2560,1.3879432624113477
U000982,Istanbul Okan University,Turkey,Istanbul Kent University,91.66666666666666,https://openalex.org/I4210109286,1164,4875,27,160,1.193939393939394
U000988,IUBAT – International University of Business Agriculture and Technology,Bangladesh,International University of Business Agriculture and Technology,95.45454545454545,https://openalex.org/I4210132231,2981,55706,98,1037,5.339197361187465
U001013,Jaume I University,Spain,Universitat Jaume I,91.89189189189189,https://openalex.org/I10902133,30211,1589301,395,26167,2.5362704918032786
U001018,Jean Moulin University – Lyon 3,France,Université Jean Moulin Lyon III,91.52542372881356,https://openalex.org/I874609350,16633,68939,99,1434,0.4152986377925253
U001020,Jember University,Indonesia,Universitas Jember,91.42857142857143,https://openalex.org/I3129486149,29006,251769,142,5165,0.3088767214202754
U001034,Johannes Gutenberg Universität Mainz,Germany,Johannes Gutenberg University Mainz,95.77464788732395,https://openalex.org/I197323543,141572,15980018,947,211117,3.7273050850199807
U001035,Johannes Gutenberg University of Mainz,Germany,Johannes Gutenberg University Mainz,95.89041095890411,https://openalex.org/I197323543,141572,15980018,947,211117,3.7273050850199807
U001036,Johannes Kepler University Linz,Austria,Johannes Kepler University of Linz,95.38461538461537,https://openalex.org/I121883995,36550,1598246,382,27519,2.550051681641091
U001041,Jordan University of Science & Technology,Jordan,Jordan University of Science and Technology,95.1219512195122,https://openalex.org/I156983542,27864,993436,251,21123,3.039417828987265
U001055,KAIST - Korea Advanced Institute of Science & Technology,South Korea,Korea Advanced Institute of Science and Technology,90.19607843137256,https://openalex.org/I157485424,115338,9184972,684,147385,5.0748882265275705
U001070,Karaganda State Technical University,Kazakhstan,Fergana State Technical University,91.42857142857143,https://openalex.org/I4405261140,0,0,0,0,0.0
U001077,Karolinska Institute,Sweden,Karolinska Institutet,97.5609756097561,https://openalex.org/I28166907,233550,30297832,1442,353100,3.718001147566637
U001081,Karunya Institute of Technology and Sciences,India,Karume Institute of Science and Technology,93.02325581395348,https://openalex.org/I4405258167,0,0,0,0,0.0
U001090,Kazakh National Pedagogical University Abai,Kazakhstan,Abai Kazakh National Pedagogical University,100.0,https://openalex.org/I4210128045,4477,23181,46,573,1.0805880751429349
U001092,Kazakhstan Medical University KSPH,Kazakhstan,Kazakhstan Medical University,92.06349206349206,https://openalex.org/I4210128576,1540,10475,42,261,1.4558047493403694
U001107,Khalifa University,United Arab Emirates,Haliç University,90.9090909090909,https://openalex.org/I25010766,3240,27730,71,605,1.8612580834803056
U001117,Khomein University of Medical Sciences,Iran,Hamedan University of Medical Sciences,92.10526315789474,https://openalex.org/I112312016,16024,525375,176,12999,2.839248674809864
U001127,King Abdullah University of Science & Technology (KAUST),Saudi Arabia,King Abdullah University of Science and Technology,94.11764705882352,https://openalex.org/I71920554,48668,4878940,668,60538,7.12962662073896
U001130,King Fahd University of Petroleum & Minerals,Saudi Arabia,King Fahd University of Petroleum and Minerals,95.45454545454545,https://openalex.org/I134085113,46836,2112021,374,41298,6.003926550409978
U001148,"KIT, Karlsruhe Institute of Technology",Germany,Karlsruhe Institute of Technology,94.28571428571428,https://openalex.org/I102335020,166481,11150921,732,177917,2.808292838365331
U001151,KL University,India,KLE University,96.2962962962963,https://openalex.org/I4210125823,8829,164132,125,4051,1.4738400789733466
U001160,Kochi University,Japan,University of Kochi,91.42857142857143,https://openalex.org/I201954162,2845,67320,107,1638,0.9065693430656936
U001177,Korkyt Ata Kyzylorda University,Kazakhstan,Korkyt Ata Kyzylorda State University,91.17647058823529,https://openalex.org/I4210129744,1222,7143,39,187,1.2701252236135958
U001196,Kyiv National Economic University,Ukraine,National Economics University,90.32258064516128,https://openalex.org/I138622004,4552,73310,100,1745,2.8715651135005973
U001197,Kyoai Gakuen University,Japan,Tokai Gakuen University,91.30434782608697,https://openalex.org/I175135595,718,25663,87,422,1.7751937984496124
U001222,Lappeenranta-Lahti University of Technology LUT,Finland,Lappeenranta-Lahti University of Technology,95.55555555555556,https://openalex.org/I63548447,20558,1119562,332,18200,3.369694397283532
U001236,Liaquat University of Medical and Health Sciences (LUMHS),Pakistan,Liaquat University of Medical & Health Sciences,90.0,https://openalex.org/I1318157472,5356,52763,79,1446,0.75
